target_index,M0_seed2026,M0_seed7,M0_seed13,M0T_seed2026,M0T_seed7,M0T_seed13,M1D_seed2026,M1D_seed7,M1D_seed13,M1R_seed2026,M1R_seed7,M1R_seed13,M1_seed2026,M1_seed7,M1_seed13,M2_seed2026,M2_seed7,M2_seed13
23,0.325956772119522,0.31869708758365767,0.3451929207806071,0.5680285014629519,0.5605014150891774,0.5717716662493789,0.37444498320393677,0.37782571656064473,0.3408873166952386,0.4577213509010645,0.3708694977012624,0.4425126424165938,0.551752825370449,0.5315525554234151,0.5877507189806712,0.5308392516851601,0.5274098006504867,0.6098390933076111
24,0.050004293960443334,0.05085406316100118,0.04416043413442526,0.08621959130423996,0.08380731920425777,0.061233385940652196,0.07580224017027504,0.04796387684285533,0.05854680793196287,0.06464626920783154,0.08333530175874668,0.061311268467838506,0.061312117359834606,0.07694137974394596,0.07228736294231473,0.06970690318114404,0.07302129052079623,0.09234697779502195
25,0.12827906384188156,0.12432931063153606,0.129719925430684,0.21837967148507037,0.21100919229516352,0.20112864851964835,0.14157624846209566,0.1434066708444646,0.1447800595478783,0.183178526562032,0.17819298278363213,0.14222133938549716,0.14648334001106972,0.1524268253137257,0.1949765730836818,0.1624997477112648,0.23606450137878482,0.18788591064078114
26,0.9211381141696843,0.9101077395143126,0.9409823978045322,0.9176314949431567,0.9147984106064417,0.9161504866750466,0.9599922084263861,0.963444778404432,0.9806175079690734,0.966553001456344,0.9649363501752812,0.9591520397096484,0.9730524694662037,0.9695990051039916,0.9649176561955444,0.9786357763831632,0.9736016998638761,0.9695362535923738
27,0.20175143392460473,0.20084744127413895,0.18765549843347853,0.24351108520263776,0.22736674782194596,0.24615526151615735,0.1745871306091171,0.16465431655942506,0.1487671081134899,0.17381900739903008,0.16560307912310912,0.17356924214849798,0.12753060105022135,0.13264434714868753,0.11497437176605467,0.12663850665326024,0.12322039722136054,0.12678309640318075
28,0.061720562719033,0.05581932911625462,0.05897442054567764,0.08648496946768638,0.10559298347860305,0.10933413545677392,0.0629592383638467,0.06294212029027371,0.06997711716435014,0.07056321709404179,0.0722988294396796,0.07556189536811864,0.08186021798174471,0.07517759197496854,0.07004551065176165,0.07876026357823769,0.08480159466577548,0.08906235559668356
29,0.07171256666283005,0.0773913702215352,0.07159114324589727,0.10603187680504421,0.09827335015159262,0.10269689069639477,0.06977870925488915,0.06855130078071646,0.07712523782326507,0.0950617794145455,0.10786892493934136,0.08543318324875922,0.1140444083441891,0.11783140533304018,0.1272689635969219,0.11903401544588292,0.11834158020846755,0.11842979872343379
30,0.06097045091692027,0.05735156061542035,0.06213977859229309,0.06417506749354834,0.060805637190717306,0.061154404673167975,0.07109278229557962,0.0609337263505629,0.07411251695341373,0.07532632587621359,0.07871597202867511,0.07345416297883015,0.08473915515350894,0.07345667071690676,0.07657127454823295,0.06956346256127384,0.06314148656632368,0.0717096489365237
31,0.2515653052665933,0.2574780729620247,0.24380505703653457,0.32986864843913355,0.35724957670774965,0.35003440450398016,0.45704512329986124,0.41141581199206845,0.4710700001472798,0.42942658888056556,0.4395395343641234,0.4543391812689182,0.4443044584487801,0.4615576815678757,0.4934487649065901,0.5196762460138818,0.5678843791532177,0.5192326212572533
32,0.1477758474899525,0.14810669975515225,0.14482161228799442,0.29542200572052424,0.3228292408903329,0.3022817912164069,0.22591905401239545,0.20764747059855101,0.18959488761692825,0.22882866974042762,0.20508312958093972,0.2044165358246835,0.18114890186121516,0.20060860188099006,0.21650422461601643,0.2154954806774495,0.21263141665212662,0.1731124161352956
33,0.060820733329772766,0.054442076268122364,0.06850179535072927,0.10890148963457967,0.11195954549989065,0.0936833475395402,0.0657341388412483,0.07986878158724237,0.06712906872207432,0.05781206210354793,0.058150528884767336,0.05737379015424521,0.06428064142784087,0.06476468234933194,0.08676526087013414,0.07115391730165924,0.09879477052153561,0.07340374931031357
34,0.1851228948860235,0.18119926493024366,0.18774136908547276,0.20262028170142524,0.18432346087969473,0.22848914147516503,0.1807023529935661,0.1638992116827227,0.17581663246599397,0.2254175024115517,0.24332135632742377,0.24646158645163294,0.23958550418256083,0.26124409432064244,0.2480411598178843,0.2570432238977477,0.22870450660603064,0.28104154863871894
35,0.25705180621170487,0.2518114053949143,0.23941565533428516,0.3493866048880233,0.3682036510627703,0.3607843313870037,0.18213003996459795,0.17140827644896742,0.1934488042130276,0.1656721275662179,0.1656761461664171,0.21836197772965854,0.24907906527449325,0.20469057459320056,0.1934138946774119,0.2566035268092869,0.21239234020442815,0.24917308764691884
36,0.13184074477188115,0.12326374692573093,0.13793482645719918,0.14627635702155178,0.15483365671669452,0.13692155974655804,0.15352893803313802,0.14947381755522832,0.13936615844325212,0.20714329361654457,0.16742033416494245,0.20117947747817197,0.18280457264319655,0.19865225616383492,0.16972954557385964,0.1892541850668042,0.21630552672517625,0.18067433572379776
37,0.18613063303607277,0.15631615553796252,0.1552501665667446,0.18502734057571615,0.2007653095877922,0.18255086050901237,0.23291120656503633,0.20080242779867646,0.21010726842582708,0.22952965637692174,0.21107134868145694,0.22035057663460128,0.290466374136652,0.2640568966658632,0.28359410092982046,0.3069004836373761,0.2710359841629677,0.3215262862104307
38,0.5103790264597947,0.5097743777633688,0.5104254561712206,0.5603462985008832,0.5758291968158658,0.5289515955474261,0.5979505034230228,0.605269512809223,0.5929536799023294,0.5510872748111925,0.5922860427484362,0.5652878319195009,0.486797414095403,0.5158078758855705,0.5445779722157067,0.5380477374144653,0.5372792595435862,0.5479288014985151
39,0.29449375492702784,0.290330573484754,0.30996236715727193,0.49166810070441697,0.49840680624390404,0.4843214416100029,0.22900330042873085,0.17077573300416735,0.19323217639519202,0.21623460528315588,0.2503191694200903,0.1748974145403481,0.2854203202517509,0.2559744622345623,0.23422315266270546,0.25400121187539193,0.27254856801745286,0.26778125279413123
40,0.32940715049361274,0.32852111872033024,0.3226802859523478,0.4497492334651415,0.4412668616680427,0.43209842205361687,0.38339100604735227,0.37759395673139495,0.3437867891761732,0.3347812671053099,0.36560858677511654,0.3536905004433103,0.28468396246627997,0.3148684271129462,0.3026786121766324,0.2882786499563393,0.26500256057268934,0.3228647742563341
41,0.16612156383860907,0.17425770107846036,0.19652146693055447,0.32788640234860456,0.33589828092632834,0.31431346589855763,0.16209210208407507,0.13801730967675646,0.16594958967957257,0.15533446513451893,0.149300776358047,0.21032308830318155,0.19226317491743689,0.15222677222798958,0.15795542498172704,0.15954678203476302,0.1489435510486956,0.14480265577259419
42,0.3445406644382037,0.3828409311037211,0.4002259981287569,0.6152499493754179,0.5674127721914882,0.6250009002531344,0.46468165126920785,0.46404980466333434,0.4448038712751921,0.399124801004434,0.46096701556051733,0.45226581162021445,0.44971636333492476,0.4147162818969679,0.4484268256414343,0.4702485525499781,0.479834562894456,0.4768476185913337
43,0.07637329378297725,0.07733523946832956,0.0728329841747987,0.10205976550991772,0.10900883298126103,0.11250076329123228,0.05814494769801359,0.06327124019984284,0.06387156251318121,0.06121658396416211,0.07052524596367955,0.08573794664052946,0.10494222531559964,0.07004369164966716,0.09446791259065641,0.09808075214967066,0.11161048142188315,0.14369865650375035
44,0.3039728885677067,0.32016841227726617,0.28945175988781896,0.5210234156997086,0.5181536963675801,0.5272895288144445,0.3342305501480112,0.31251702819232835,0.32883092606026826,0.36209852803344633,0.35960421990402963,0.33538773906339686,0.2954456718395017,0.338744142823625,0.33632675272938944,0.39647953106135925,0.37611810736199724,0.3440460754201302
